Sample_ID,Mouse_Ear_Tag,Mouse_Genotype,Sex,Virus_Titer,Time_After_Tumor_Initiation(wks),Total_Lung_Weight(g),Pooling_library_name
28858,28858,KT,M,"300,000",12,0.3189,Library 1
28875,28875,KT,M,"300,000",12,0.4423,Library 1
28878,28878,KT,M,"300,000",12,0.2928,Library 1
29535,29535,KT,F,"300,000",12,0.2823,Library 1
29536,29536,KT,F,"300,000",12,0.3771,Library 1
29537,29537,KT,F,"300,000",12,0.3675,Library 1
29538,29538,KT,F,"300,000",12,0.3388,Library 1
29467,29467,KTC,M,"180,000",12,0.2347,Library 1
29476,29476,KTC,M,"180,000",12,0.2854,Library 1
29478,29478,KTC,M,"180,000",12,0.3384,Library 1
29480,29480,KTC,M,"180,000",12,0.3235,Library 1
29484,29484,KTC,M,"180,000",12,0.2884,Library 1
29469,29469,KTC,F,"180,000",12,0.3133,Library 1
29470,29470,KTC,F,"180,000",12,0.3593,Library 1
29475,29475,KTC,F,"180,000",12,0.2818,Library 1
29479,29479,KTC,F,"180,000",12,0.2493,Library 1
29558,29558,KTC,F,"180,000",12,0.2725,Library 1
29462,29462,KTC,M,"180,000",12,0.5387,Library 1
29466,29466,KTC,M,"180,000",12,0.3041,Library 1
29474,29474,KTC,M,"180,000",12,0.2972,Library 1
29458,29458,KTC,F,"180,000",12,0.3688,Library 1
29463,29463,KTC,F,"180,000",12,0.3212,Library 1
29833,29833,KTC,F,"180,000",12,0.2805,Library 1
29898,29898,KTC,F,"180,000",12,0.2503,Library 1
29785,29785,KTC,M,"180,000",12,0.2914,Library 1
29791,29791,KTC,M,"180,000",12,0.2749,Library 1
29837,29837,KTC,M,"180,000",12,0.309,Library 1
29912,29912,KTC,M,"180,000",12,0.2375,Library 1
29790,29790,KTC,F,"180,000",12,0.2503,Library 1
29795,29795,KTC,F,"180,000",12,0.286,Library 1
29836,29836,KTC,F,"180,000",12,0.4244,Library 1
29839,29839,KTC,F,"180,000",12,0.2177,Library 1
29915,29915,KTC,F,"180,000",12,0.2341,Library 1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
